number,value,ELITE_SIZE,POP_SIZE,P_CROSSOVER_MAX,P_CROSSOVER_MIN,crossover_type,k,mutation_rate,rosenbrock_mean,salomon_mean,whitley_mean
991,30.31172977446948,4,26,0.8303655223041606,0.28119235707731516,one_point,2,0.010454678153580305,30.538361115909574,0.29987334603867294,60.09695486146019
109,30.393367465768808,0,24,0.8709516836220879,0.21111302905211693,two_point,3,0.019522598814101934,13.951029060652976,0.3198733536631466,76.9091999829903
99,30.39690718176371,2,24,0.8725534708803364,0.15142627422578497,two_point,2,0.01514743711388285,17.155416921023864,0.2998734017724776,73.73543122249478
1457,30.428304645566985,2,26,0.7189743971667869,0.247865783589522,one_point,2,0.004258198745556718,31.82808752466162,0.3398733460443487,59.11695306599499
231,30.453534098537773,0,28,0.8601564454502335,0.22148546416397763,two_point,6,0.011566960211869847,33.46633527847263,0.27987334609870573,57.61439367104198
998,30.473024606125417,4,26,0.8173541866428172,0.28067288469344753,two_point,2,0.010856584278056736,33.103196307134816,0.29987334751065886,58.01600416373077
57,30.597618771134137,4,24,0.9033537311633179,0.1900464363342878,one_point,4,0.030087317351756213,13.52178967094008,0.3598734939614469,77.91119314850089
218,30.77575920081034,0,28,0.8447546163846357,0.12112705894294402,two_point,6,0.015333112127541097,27.823080813575718,0.29987334639595464,64.20432344245935
940,30.79457957004911,2,26,0.7923226565062822,0.2842448877457256,uniform,2,0.0095216558594101,13.831500420030537,0.29987334650392433,78.25236494361286
892,30.85125951758991,2,22,0.8149628516397304,0.2657493045306144,one_point,2,0.005091426517310688,33.30811729613351,0.31987334721892025,58.925787909417295
517,30.874402424222477,0,22,0.8052566104265854,0.2154012827304862,two_point,4,0.01538767952339542,35.99481232548963,0.31987334620836105,56.30852160096943
457,30.90681370987655,0,26,0.8118771266446684,0.14134333165956173,uniform,2,0.008475252468520128,28.55088244031076,0.25987334630391756,63.909685343014964
303,30.914328718574353,0,24,0.9165532816683399,0.21257214734038735,two_point,4,0.02701944437768414,13.627026630891056,0.3598733636284842,78.75608616120353
1124,30.93081706508146,2,26,0.7594014867368947,0.27664818247726175,one_point,2,0.016970131968277114,25.015617645200514,0.3198733760027312,67.45696017404114
528,30.931615659338817,6,22,0.7383326659957449,0.20317733467113266,two_point,4,0.022527191945033376,14.626345119516273,0.31987334638360443,77.84862851211658
855,31.071037908698884,6,26,0.8181106434182889,0.27998009072733154,one_point,2,0.006819981776855487,32.43745300309111,0.31987334616770735,60.45578737683784
897,31.08740209715309,2,22,0.7702216490221754,0.27859638632732475,one_point,2,0.005353511156638701,44.9394247162878,0.33987334734796754,47.9829082278235
1077,31.0885132298642,4,30,0.7874625477895585,0.28345687943232895,uniform,2,0.007335916491305686,13.647109979262567,0.27987334616358994,79.33855636416645
425,31.118132047746112,4,20,0.7998523907051722,0.264521681127625,one_point,3,0.01616894225909693,13.570890928244628,0.299873349385484,79.48363186560822
205,31.14045351496705,6,24,0.8356874327010444,0.1915650780761282,two_point,2,0.01860265731040604,15.356865158737202,0.27987339335561257,77.78462199280833
117,31.144105972412564,2,24,0.8573469463563836,0.16665552839624276,two_point,3,0.008939784257292645,50.38573443441293,0.27987334601654307,42.766710136808214
808,31.173718534577702,2,24,0.7800319977299723,0.266029530487933,two_point,2,0.007934603834884507,13.547249241085456,0.29987334658805576,79.6740330160596
799,31.22136325286532,2,24,0.8150205920426712,0.29279841921219707,two_point,3,0.008636406737349826,16.741624443957402,0.419873346508462,76.5025919681301
0,31.23259084265044,2,20,0.8336409981391939,0.28662047982781075,one_point,4,0.01761540082236261,13.386626943547025,0.29987334685534583,80.01127223754894
179,31.371925619042553,2,22,0.7793590597106852,0.19840610964054523,one_point,2,0.010527682271956001,30.457969134690124,0.3198733480415564,63.33793437439598
1341,31.374013568691115,2,20,0.7937816892019027,0.25388947611487367,one_point,2,0.004884469960993928,44.31806491667139,0.33987334604030767,49.464102443361654
397,31.444200865551835,4,30,0.7902636023262876,0.14221140157631562,two_point,5,0.01439864218089804,39.48775185669657,0.27987334617950105,54.56497739377943
149,31.513235759650172,6,30,0.8794466159010277,0.17995750947577352,two_point,3,0.01603925179120616,13.321705236913763,0.29987334796077564,80.91812869407597
