1,125.541,2,4,2,0.871,0.17,2,,,,,,k,n_elites,,,,,,,id,val,cr_type,k,n_elites,p_max,p_min,pop_size
171,97.89,2,5,3,0.842,0.192,0,,,170,101.704,one_point,5,6,0.845,0.213,20,,,,1300,84.277,one_point,5,6,0.944,0.114,26
172,108.749,0,5,3,0.841,0.271,1,,,171,97.89,uniform,5,6,0.842,0.192,20,,,,604,84.35,two_point,5,6,0.944,0.181,24
173,108.497,0,5,3,0.841,0.214,1,,,172,108.749,one_point,5,6,0.841,0.271,22,,,,1084,84.43,one_point,5,6,0.938,0.227,26
174,104.583,2,5,3,0.845,0.193,1,,,173,108.497,one_point,5,6,0.841,0.214,22,,,,663,84.454,one_point,5,6,0.846,0.109,28
175,70.12,2,5,3,0.84,0.142,1,,,174,104.583,uniform,5,6,0.845,0.193,22,,,,1064,84.475,uniform,5,6,0.949,0.113,26
176,96.169,2,5,3,0.858,0.195,1,,,175,70.12,uniform,5,6,0.84,0.142,22,,,,146,84.492,one_point,6,6,0.852,0.109,26
177,98.54,0,5,3,0.863,0.196,2,,,176,96.169,uniform,5,6,0.858,0.195,22,,,,1314,84.568,one_point,5,6,0.926,0.235,26
178,82.403,0,5,3,0.863,0.163,2,,,177,98.54,one_point,5,6,0.863,0.196,24,,,,582,84.739,two_point,5,6,0.821,0.254,24
179,122.525,2,5,3,0.858,0.297,1,,,178,82.403,one_point,5,6,0.863,0.163,24,,,,1302,84.862,one_point,5,6,0.947,0.25,22
180,134.776,0,5,3,0.829,0.162,1,,,179,122.525,uniform,5,6,0.858,0.297,22,,,,1087,84.966,one_point,5,6,0.942,0.212,26
181,104.032,2,5,3,0.832,0.159,1,,,180,134.776,one_point,5,6,0.829,0.162,22,,,,574,85.041,uniform,5,6,0.823,0.244,24
