number,value,crossover_type,k,n_elites,p_crossover_max,p_crossover_min,pop_size,rosenbrock_mean,salomon_mean,whitley_mean
1013,27.64030936051492,uniform,3,2,0.841562118614739,0.22825711851982183,30,41.74863685596995,0.27987334729357355,40.892417878281236
304,27.64692679645668,one_point,3,2,0.912744100608582,0.16232044334075726,30,36.258338706079996,0.23987334600754595,46.44256833728249
182,27.659253303076365,uniform,5,4,0.9416736857476141,0.2550959155597271,24,27.863073504612366,0.33987334661574875,54.77481305800097
812,27.704594624264207,uniform,2,2,0.8958319986095922,0.11957704735672303,28,13.979137154745334,0.27987334652327595,68.85477337152402
178,27.715111282277505,two_point,4,6,0.8426679790971321,0.279499480735058,24,30.21795884181982,0.3198733461181439,52.60750165889455
1832,27.716716185774345,one_point,3,2,0.888178481263667,0.25632413427846257,26,26.557814892496378,0.29987334620541267,56.29246031862124
825,27.71870500624625,one_point,4,2,0.9084984613309954,0.26803735183456295,28,29.40694872124778,0.27987336095435394,53.469292936536604
1247,27.771666076570536,uniform,3,2,0.8865905941151632,0.2714068969232933,30,13.77793538099372,0.25987334648099436,69.2771895022369
1688,27.774711572955468,one_point,3,2,0.8083398416245474,0.2621230426318091,30,14.150518910029485,0.27987334648902895,68.89374246234789
1822,27.9187659624943,two_point,3,2,0.9014342472931709,0.24728072015679836,30,27.188400630418887,0.2798733464390918,56.28802391062493
703,27.935090201004098,two_point,3,6,0.9029051474221421,0.11707010485175874,26,27.704129463231965,0.3398733459945088,55.76126779378582
710,27.956393076664934,uniform,3,2,0.8354791249062459,0.25497568867427844,28,13.980219942550946,0.31987334618092905,69.56908594126293
655,27.982103733408007,two_point,3,2,0.8235113830626599,0.23224251329343001,22,14.443771116031774,0.27987334601365155,69.22266673817859
288,27.99478889469988,uniform,5,2,0.8913141369681704,0.16861310891067283,20,12.974611138832973,0.29987334629063983,70.70988219897603
509,28.010877895024407,one_point,3,2,0.8994104333408899,0.2753483920996475,30,31.80582637559589,0.25987334599083656,51.9669339634865
1874,28.054041978287803,one_point,3,4,0.889082490573169,0.12048986520733738,26,36.081764594290796,0.3398733463507517,47.740487994221866
325,28.057533679348946,one_point,3,2,0.9077515426639124,0.20687865995603352,30,33.660987856988655,0.25987334641932935,50.251739834638855
